"","ID","PValue","FDR","deltaPSI","logFDR","geneSymbol","status"
"1",0,0.0769495188553,0.31968589253037,-0.048,1.14041635110183,"LSS","Not significant"
"2",5,1,1,0.001,0,"ITGB2","Not significant"
"3",6,1,1,0.001,0,"ITGB2","Not significant"
"4",7,0.0000000000016908696665,0.0000000000245656455436927,0.026,24.4296721716509,"ITGB2","Not significant"
"5",8,0.179463339859,0.669204334140056,-0.021,0.401665833291433,"ITGB2","Not significant"
"6",11,1,1,0,0,"RRP1","Not significant"
"7",21,0.0000700245092503,0.000507444013461506,0.109,7.58612417143629,"PAXBP1","old"
"8",33,1,1,0,0,"CHKB-CPT1B","Not significant"
"9",34,1,1,0.004,0,"DENND6B","Not significant"
"10",36,0.339672868711,1,-0.076,0,"PLXNB2","Not significant"
"11",39,1,1,0,0,"TUBGCP6","Not significant"
"12",40,1,1,0,0,"TUBGCP6","Not significant"
"13",41,0.491621002522,1,0.018,0,"TUBGCP6","Not significant"
"14",42,1,1,-0.003,0,"TUBGCP6","Not significant"
"15",43,1,1,-0.003,0,"TUBGCP6","Not significant"
"16",48,1,1,0,0,"NAGA","Not significant"
"17",49,0.00595851710547,0.0315637507716556,0.218,3.45574594432285,"POLR3H","old"
"18",50,1,1,-0.002,0,"L3MBTL2","Not significant"
"19",52,1,1,0,0,"SUN2","Not significant"
"20",53,4.4408920985e-16,7.98558006868825e-15,0.245,32.4611389710872,"SUN2","old"
"21",55,0.137509751246,0.529634332218465,-0.027,0.635568449764002,"MICALL1","Not significant"
"22",57,1,1,0.001,0,"ANKRD54","Not significant"
"23",58,0.0000631748605613,0.00046163270202076,0.281,7.68074100034745,"GGA1","old"
"24",59,1,1,0,0,"NCF4","Not significant"
"25",60,1,1,0.002,0,"SFI1","Not significant"
"26",65,1,1,-0.008,0,"TCN2","Not significant"
"27",66,1,1,-0.007,0,"RNF215","Not significant"
"28",68,1,1,0,0,"GATSL3","Not significant"
"29",69,1,1,0,0,"ASCC2","Not significant"
"30",75,1,1,0,0,"EWSR1","Not significant"
"31",76,1,1,0.002,0,"EWSR1","Not significant"
"32",77,1,1,0,0,"EWSR1","Not significant"
"33",78,0.000424459871293,0.00269577173576512,0.015,5.9160707572595,"EWSR1","Not significant"
"34",79,1,1,-0.006,0,"EWSR1","Not significant"
"35",80,1,1,0,0,"HSCB","Not significant"
"36",90,1,1,0,0,"SNRPD3","Not significant"
"37",91,1,1,-0.002,0,"SNRPD3","Not significant"
"38",92,0.0358845048196,0.164413272273992,0.048,1.80537206802505,"CABIN1","Not significant"
"39",93,1,1,0,0,"CABIN1","Not significant"
"40",95,1,1,0,0,"GUSBP11","Not significant"
"41",96,1,1,0.021,0,"GUSBP11","Not significant"
"42",97,1,1,-0.003,0,"GUSBP11","Not significant"
"43",98,1,1,0,0,"GUSBP11","Not significant"
"44",100,0.00000910431887935,0.0000753852756029397,0.075,9.49289858580137,"YDJC","Not significant"
