"","ID","PValue","FDR","deltaPSI","logFDR","geneSymbol","status"
"1",1,0.000000216382936014,0.000000841985705744707,0.28,13.9875027993984,"MCM3AP","old"
"2",2,0.632242132695,0.992105768120693,0.014,0.00792555629147995,"LSS","Not significant"
"3",4,0.445564127882,0.737438737329026,0.023,0.304572262246941,"POFUT2","Not significant"
"4",16,0.0000231438342752,0.0000729611609486517,0.147,9.52558330019963,"SETD4","old"
"5",28,1,1,0,0,"ARSA","Not significant"
"6",29,0.0000000883874604618,0.000000354635682884814,0.123,14.8521748198162,"ARSA","old"
"7",30,0.0137944728884,0.030886253510179,0.188,3.4774440642833,"NCAPH2","old"
"8",31,0.785498730566,1,0.184,0,"DENND6B","Not significant"
"9",39,0.0000959006969516,0.000279653282360648,0.275,8.18195999937723,"PLXNB2","old"
"10",40,0.0000110149472723,0.0000359988170026669,0.234,10.2320244810851,"TUBGCP6","old"
"11",41,0.000521790772094,0.00140222325424493,0.253,6.56969626321472,"TUBGCP6","old"
"12",42,1,1,0.005,0,"TUBGCP6","Not significant"
"13",43,0.27585749918,0.480421574291795,0.049,0.733091280767629,"TUBGCP6","Not significant"
"14",44,1,1,-0.002,0,"TUBGCP6","Not significant"
"15",45,0.0135009689789,0.0303187900946553,0.105,3.49598762353401,"TRABD","old"
"16",48,0.0000180999231638,0.0000577288564970418,0.053,9.75975339686447,"NAGA","Not significant"
"17",49,0.0850569076165,0.166944627569404,0.237,1.79009309298804,"PMM1","Not significant"
"18",51,0.608209811953,0.958693651466456,0.156,0.0421837009442093,"L3MBTL2","Not significant"
"19",54,0.853095047092,1,0.018,0,"SUN2","Not significant"
"20",55,0,0,0.264,Inf,"SUN2","old"
"21",56,0,0,0.154,Inf,"SUN2","old"
"22",57,0.000664920573771,0.00176078156265088,0.032,6.34199749881384,"DDX17","Not significant"
"23",59,0.863415708439,1,0.098,0,"ANKRD54","Not significant"
"24",60,1,1,0.001,0,"LGALS1","Not significant"
"25",61,0.000000000910570507884,0.00000000434360751521297,0.081,19.2545606094066,"CYTH4","Not significant"
"26",62,0.000000000000177524661638,0.00000000000107237153805741,-0.095,27.5611485293175,"NCF4","Not significant"
"27",65,0.0000108779709739,0.0000355748863826009,0.223,10.2438706077362,"SFI1","old"
"28",66,0,0,0.422,Inf,"SFI1","old"
"29",67,1,1,0.001,0,"RNF185","Not significant"
"30",72,0.760520857994,1,-0.046,0,"RNF215","Not significant"
"31",78,0.00000000701100466571,0.000000030776802739528,0.193,17.2965045885402,"EWSR1","old"
"32",79,1,1,0,0,"EWSR1","Not significant"
"33",80,0.00000000868667404674,0.0000000379287131506054,0.183,17.0875574087759,"EWSR1","old"
"34",81,0.561982925127,0.897085158096179,0.036,0.108604484867459,"EWSR1","Not significant"
"35",82,1,1,-0.003,0,"EWSR1","Not significant"
"36",83,0.0230902468053,0.049744555452579,-0.008,3.00085425950544,"EWSR1","Not significant"
"37",86,0.011358581924,0.0257142758066895,0.114,3.66070896244272,"HPS4","old"
"38",87,0.000180773359325,0.000510054577986693,0.231,7.58099282231149,"HPS4","old"
"39",88,1,1,0.001,0,"GGT1","Not significant"
"40",89,0.260490330163,0.457398611995891,0.008,0.782200031950113,"GGT1","Not significant"
"41",94,1,1,0.002,0,"SLC2A11","Not significant"
"42",95,1,1,0.011,0,"SLC2A11","Not significant"
"43",103,0.0000628340858194,0.000188733406762257,0.25,8.5751750848929,"YDJC","old"
"44",104,0.0107289153612,0.024367620006731,0.047,3.71450007689662,"YDJC","Not significant"
"45",105,0.0000000673642843729,0.000000274101020882755,0.107,15.1097691091544,"YDJC","old"
"46",106,0.00000000000473232564246,0.0000000000264956152256132,0.157,24.3540418598113,"PI4KAP2","old"
"47",119,0.000000045898859935,0.000000188639693642253,-0.054,15.4834270241925,"TMEM191A","Not significant"
"48",120,0.116253492282,0.221175090753211,0.171,1.50880062528968,"TMEM191A","Not significant"
"49",121,1,1,-0.008,0,"MED15","Not significant"
"50",132,1,1,0.003,0,"BID","Not significant"
"51",134,0,0,0.203,Inf,"SGSM3","old"
"52",135,0.0000000447724355368,0.000000184164703354142,0.216,15.5074353527999,"SGSM3","old"
"53",136,0,0,0.205,Inf,"SGSM3","old"
"54",137,0.000000693101087745,0.00000255685408799906,0.174,12.8767329270304,"SGSM3","old"
"55",138,1,1,0.005,0,"SGSM3","Not significant"
"56",139,0.00166506293572,0.00421122525662999,0.206,5.47000163880129,"KDM5D","old"
"57",141,1,1,0.019,0,"TXLNGY","Not significant"
"58",142,0.000000000000453415083257,0.00000000000266340586675785,0.273,26.6514154111125,"MZF1","old"
"59",143,0.159734852098,0.294853444019632,0.036,1.22127684602174,"CHMP2A","Not significant"
"60",148,0.000000159541694522,0.00000062879707277818,0.01,14.2794572510932,"RPL28","Not significant"
"61",149,0,0,0.044,Inf,"RPL28","Not significant"
"62",152,1,1,0.007,0,"NLRP2","Not significant"
"63",155,0.0958626330234,0.186361523484776,0.139,1.68006681711108,"LAIR1","Not significant"
"64",156,0,0,0.263,Inf,"RPS9","old"
"65",157,0.000000000000132782673745,0.000000000000812112757399195,0.183,27.8391372005976,"RPS9","old"
"66",158,1,1,0.001,0,"TSEN34","Not significant"
"67",160,0.2010095493,0.361507262122137,0.086,1.01747314872718,"PRPF31","Not significant"
"68",161,1,1,0.009,0,"ZNF160","Not significant"
"69",162,0.0173339510982,0.0381487090880871,0.07,3.26626335962007,"ZNF160","Not significant"
"70",164,4.1522341121e-14,0.000000000000262136532412086,0.251,28.9699109108068,"CHKB","old"
"71",165,0.0000000000249281706388,0.000000000133760249681798,0.148,22.7349720999537,"CHKB","old"
"72",177,0.0000278771748092,0.0000870428804271962,0.304,9.34910968226087,"MED25","old"
"73",183,1.11022302463e-15,7.882583474873e-15,0.051,32.4741206926314,"NOSIP","Not significant"
"74",185,1,1,0.003,0,"NOSIP","Not significant"
"75",186,0,0,0.037,Inf,"NOSIP","Not significant"
"76",187,0,0,0.15,Inf,"NOSIP","old"
"77",188,0.00000000000549471579347,0.0000000000305199690161106,0.104,24.2126399247123,"NOSIP","old"
"78",189,0,0,0.128,Inf,"FCGRT","old"
"79",190,0.0000178507147793,0.000057008207951042,0.013,9.77231530135552,"FCGRT","Not significant"
"80",191,0.00636863845009,0.0149711899073853,0.11,4.20162759757817,"PIH1D1","old"
"81",196,0.144834940686,0.270303380731701,0.051,1.30821031844647,"RUVBL2","Not significant"
"82",198,1,1,-0.004,0,"RPL18","Not significant"
"83",199,1,1,-0.003,0,"RPL18","Not significant"
"84",201,0.000000528382655518,0.00000197598979342189,0.213,13.1344411239243,"CYTH2","old"
"85",203,0,0,0.258,Inf,"CARD8","old"
"86",204,1,1,0.001,0,"CARD8","Not significant"
"87",206,1,1,0,0,"GLTSCR2","Not significant"
"88",207,1,1,0,0,"GLTSCR2","Not significant"
"89",208,0.476496026463,0.781504530847753,-0.005,0.24653433150753,"GLTSCR2","Not significant"
"90",211,0.375464528183,0.632313758531632,0.208,0.458369554654649,"STRN4","Not significant"
"91",213,1,1,0.002,0,"SYMPK","Not significant"
"92",215,0,0,-0.268,Inf,"DMPK","young"
"93",220,0,0,0.084,Inf,"ARHGEF1","Not significant"
"94",221,0.511563402619,0.829850698486914,0.071,0.186509475713149,"CD79A","Not significant"
"95",222,0.053107814799,0.108091061362817,0.116,2.22478124635145,"CD79A","Not significant"
"96",224,0.0000932560392291,0.000272103237750662,0.123,8.20932901312546,"BCKDHA","old"
"97",225,0,0,0.213,Inf,"EGLN2","old"
"98",227,1,1,-0.026,0,"C19orf54","Not significant"
"99",228,1,1,-0.003,0,"C19orf54","Not significant"
"100",229,1,1,-0.008,0,"C19orf54","Not significant"
"101",233,0.0000000000351138007559,0.000000000185769449139475,0.085,22.4065147318121,"PSMC4","Not significant"
"102",234,0.00000000210402173462,0.00000000973333567318544,0.059,18.4477091759445,"PSMC4","Not significant"
"103",237,0.0144677984336,0.032349495447835,0.007,3.43115685482347,"DYRK1B","Not significant"
"104",238,1,1,0.002,0,"RPS16","Not significant"
"105",239,1,1,0.002,0,"RPS16","Not significant"
"106",240,0.000000161020651368,0.000000633606563093841,0.012,14.2718376380815,"RPS16","Not significant"
"107",241,0,0,-0.002,Inf,"RPS16","Not significant"
"108",245,0,0,0.243,Inf,"GMFG","old"
"109",247,1,1,0.019,0,"RINL","Not significant"
"110",248,0.0000223936918867,0.0000706873044799892,-0.016,9.55724457006892,"RINL","Not significant"
"111",249,0.0000727402482495,0.000215841596713689,0.132,8.44096576785943,"RINL","old"
"112",250,0.0000000000013208323324,0.00000000000762162261063322,0.193,25.6000318278707,"CAPN12","old"
