"","Gene","Row_Count"
"ESRP2","ESRP2",875
"ESRP1","ESRP1",756
"PABPC4","PABPC4",574
"LIN28A","LIN28A",377
"RBM38","RBM38",356
"SAMD4A","SAMD4A",188
"IGF2BP2","IGF2BP2",66
"RBMS3","RBMS3",52
"CPEB2","CPEB2",50
"PCBP3","PCBP3",50
"MATR3","MATR3",48
"KHDRBS2","KHDRBS2",47
"QKI","QKI",46
"FMR1","FMR1",45
"RBM41","RBM41",45
"HNRNPCL1","HNRNPCL1",44
"MBNL1","MBNL1",44
"RBMS1","RBMS1",44
"ZNF638","ZNF638",44
"CPEB4","CPEB4",43
"RBM24","RBM24",42
"SRSF10","SRSF10",42
"CNOT4","CNOT4",41
"TIA1","TIA1",41
"ANKHD1","ANKHD1",39
"G3BP2","G3BP2",39
"TUT1","TUT1",39
"PCBP2","PCBP2",38
"RBM5","RBM5",38
"KHDRBS1","KHDRBS1",36
"PTBP1","PTBP1",36
"ZC3H10","ZC3H10",36
"ZC3H14","ZC3H14",36
"HNRNPK","HNRNPK",34
"YBX2","YBX2",34
"SFPQ","SFPQ",31
"RBM28","RBM28",30
"RBM45","RBM45",30
"SART3","SART3",28
"PPRC1","PPRC1",27
"RBM47","RBM47",27
"U2AF2","U2AF2",27
"FXR1","FXR1",25
"SRSF2","SRSF2",23
"SRSF1","SRSF1",22
"YBX1","YBX1",22
"HNRNPA1","HNRNPA1",21
"TARDBP","TARDBP",19
"HNRNPA1L2","HNRNPA1L2",18
"HNRNPH2","HNRNPH2",18
"SNRPA","SNRPA",18
"PABPC3","PABPC3",17
"RBM8A","RBM8A",17
"HNRNPA2B1","HNRNPA2B1",16
"IGF2BP3","IGF2BP3",16
"SRSF7","SRSF7",16
"PCBP1","PCBP1",15
"HNRNPL","HNRNPL",14
"RBM6","RBM6",13
"HNRNPC","HNRNPC",12
"PABPN1","PABPN1",12
"RBM3","RBM3",12
"ENOX1","ENOX1",10
"FUS","FUS",10
"ZCRB1","ZCRB1",10
"A1CF","A1CF",9
"PABPC1","PABPC1",7
"RBM4","RBM4",7
"DAZAP1","DAZAP1",5
"SRSF9","SRSF9",5
"RBM42","RBM42",4
"KHDRBS3","KHDRBS3",3
"SNRNP70","SNRNP70",3
"FXR2","FXR2",2
"RALY","RALY",2
