"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold","gene"
"FCGR3B",-7.9980905177826,15.9087481063702,-59.0900868783336,4.71850501029379e-191,1.02745446599147e-186,424.725359059053,"Down","FCGR3B"
"MZF1-AS1",2.21830661723064,3.82624006885734,46.2969716512754,2.135239234437e-156,2.32474171649328e-152,346.242614145324,"Up","MZF1-AS1"
"AP3B2",6.95107434826071,0.375910146248755,44.2671853974152,2.87256046041782e-150,2.0850001341866e-146,332.304859761268,"Up","AP3B2"
"ADGRG6",-4.21785743598792,5.01316220883911,-34.2427421429287,5.28794703713121e-117,2.8786261683383e-113,256.436220061454,"Down","ADGRG6"
"FBLN2",-3.08330423065772,6.61174673831505,-32.8486937072551,5.89388177850913e-112,2.56678551454073e-108,244.898956838165,"Down","FBLN2"
"NT5DC4",3.56628846084541,2.82128882048986,32.7692976026517,1.15091089382013e-111,4.17684745215557e-108,244.234408770139,"Up","NT5DC4"
"SERPINE2",-2.64532131052412,6.26296681902682,-31.3898091555118,1.46418794232298e-106,4.55467034915469e-103,232.560026496248,"Down","SERPINE2"
"SNORA70F",3.18600708695577,-0.842785202077929,30.731128153033,4.3580360791218e-104,1.18620294528596e-100,226.900722484682,"Up","SNORA70F"
"LYPD8",4.65720304890304,0.981795678545906,30.3827586919501,9.05795800584268e-103,2.19152261752472e-99,223.885542612785,"Up","LYPD8"
"TSPYL5",-1.99598457490691,6.00392124953302,-29.3806584288598,6.07536847391311e-99,1.32291148519458e-95,215.128125723368,"Down","TSPYL5"
"GLULP4",3.36315280603306,0.124810746679591,28.9259506749941,3.44589254700348e-97,6.82130092827279e-94,211.113725571619,"Up","GLULP4"
"PLEKHA6",2.66532643202366,2.61953241515321,28.561803335331,8.90186287602343e-96,1.61531720104508e-92,207.880800209078,"Up","PLEKHA6"
"KCNQ5",-1.71445484829243,6.32599857936641,-28.4292114674405,2.91990652096873e-95,4.89084342262262e-92,206.699692278823,"Down","KCNQ5"
"CCDC180",1.84340858448359,4.47527439402725,28.1630115361309,3.190086600597e-94,4.96172398057141e-91,204.322112759614,"Up","CCDC180"
"SLIT2",2.99389191074488,-0.0106687213634441,27.6004751605453,5.12825264053451e-92,7.44451341650926e-89,199.270387698675,"Up","SLIT2"
"CR2",-1.88147042510919,7.02687237680964,-27.2863267851458,8.88862737309621e-91,1.20968663155731e-87,196.433309079837,"Down","CR2"
"FNDC10",2.07145585702659,4.54615770126444,27.207073963307,1.82867408892337e-90,2.34231636978273e-87,195.715795819089,"Up","FNDC10"
"LRRN3",-2.69194964665078,8.27635821881262,-27.0302273199573,9.16944677826172e-90,1.10924835331472e-86,194.112157435044,"Down","LRRN3"
"C1QA",3.14477917865841,4.1977330538492,26.8717084153124,3.90178364162673e-89,4.471649410338e-86,192.671727718152,"Up","C1QA"
"ADGRA3",-2.17727051790161,5.74211692289103,-26.3025282185953,7.23244999532194e-87,7.87432993240676e-84,187.476809375962,"Down","ADGRA3"
