"","ID","deltaPSI","status","AS_type","differ","chr","Total_length_bp","log_length"
"1",1,0.28,"old","RI",1,"chr21",46709983,7.66940970922725
"2",16,0.147,"old","RI",1,"chr21",46709983,7.66940970922725
"3",29,0.123,"old","RI",1,"chr22",50818468,7.70602156844408
"4",30,0.188,"old","RI",1,"chr22",50818468,7.70602156844408
"5",39,0.275,"old","RI",1,"chr22",50818468,7.70602156844408
"6",40,0.234,"old","RI",1,"chr22",50818468,7.70602156844408
"7",41,0.253,"old","RI",1,"chr22",50818468,7.70602156844408
"8",45,0.105,"old","RI",1,"chr22",50818468,7.70602156844408
"9",55,0.264,"old","RI",1,"chr22",50818468,7.70602156844408
"10",56,0.154,"old","RI",1,"chr22",50818468,7.70602156844408
"11",65,0.223,"old","RI",1,"chr22",50818468,7.70602156844408
"12",66,0.422,"old","RI",1,"chr22",50818468,7.70602156844408
"13",78,0.193,"old","RI",1,"chr22",50818468,7.70602156844408
"14",80,0.183,"old","RI",1,"chr22",50818468,7.70602156844408
"15",86,0.114,"old","RI",1,"chr22",50818468,7.70602156844408
"16",87,0.231,"old","RI",1,"chr22",50818468,7.70602156844408
"17",103,0.25,"old","RI",1,"chr22",50818468,7.70602156844408
"18",105,0.107,"old","RI",1,"chr22",50818468,7.70602156844408
"19",106,0.157,"old","RI",1,"chr22",50818468,7.70602156844408
"20",134,0.203,"old","RI",1,"chr22",50818468,7.70602156844408
"21",135,0.216,"old","RI",1,"chr22",50818468,7.70602156844408
"22",136,0.205,"old","RI",1,"chr22",50818468,7.70602156844408
"23",137,0.174,"old","RI",1,"chr22",50818468,7.70602156844408
"24",139,0.206,"old","RI",1,"chrY",57227415,7.75760412898386
"25",142,0.273,"old","RI",1,"chr19",58617616,7.76802815154529
"26",156,0.263,"old","RI",1,"chr19",58617616,7.76802815154529
"27",157,0.183,"old","RI",1,"chr19",58617616,7.76802815154529
"28",164,0.251,"old","RI",1,"chr22",50818468,7.70602156844408
"29",165,0.148,"old","RI",1,"chr22",50818468,7.70602156844408
"30",177,0.304,"old","RI",1,"chr19",58617616,7.76802815154529
"31",187,0.15,"old","RI",1,"chr19",58617616,7.76802815154529
"32",188,0.104,"old","RI",1,"chr19",58617616,7.76802815154529
"33",189,0.128,"old","RI",1,"chr19",58617616,7.76802815154529
"34",191,0.11,"old","RI",1,"chr19",58617616,7.76802815154529
"35",201,0.213,"old","RI",1,"chr19",58617616,7.76802815154529
"36",203,0.258,"old","RI",1,"chr19",58617616,7.76802815154529
"37",215,-0.268,"young","RI",0,"chr19",58617616,7.76802815154529
"38",224,0.123,"old","RI",1,"chr19",58617616,7.76802815154529
"39",225,0.213,"old","RI",1,"chr19",58617616,7.76802815154529
"40",245,0.243,"old","RI",1,"chr19",58617616,7.76802815154529
"41",249,0.132,"old","RI",1,"chr19",58617616,7.76802815154529
"42",250,0.193,"old","RI",1,"chr19",58617616,7.76802815154529
"43",264,0.316,"old","RI",1,"chr19",58617616,7.76802815154529
"44",266,0.178,"old","RI",1,"chr19",58617616,7.76802815154529
"45",271,0.203,"old","RI",1,"chr19",58617616,7.76802815154529
"46",272,0.246,"old","RI",1,"chr19",58617616,7.76802815154529
"47",279,0.166,"old","RI",1,"chr19",58617616,7.76802815154529
"48",285,0.51,"old","RI",1,"chr19",58617616,7.76802815154529
"49",286,0.246,"old","RI",1,"chr19",58617616,7.76802815154529
"50",293,0.27,"old","RI",1,"chr19",58617616,7.76802815154529
"51",299,0.258,"old","RI",1,"chr19",58617616,7.76802815154529
"52",301,0.209,"old","RI",1,"chr19",58617616,7.76802815154529
"53",316,0.136,"old","RI",1,"chr19",58617616,7.76802815154529
"54",326,0.205,"old","RI",1,"chr19",58617616,7.76802815154529
"55",329,0.17,"old","RI",1,"chr19",58617616,7.76802815154529
"56",332,0.19,"old","RI",1,"chr19",58617616,7.76802815154529
"57",335,0.211,"old","RI",1,"chr19",58617616,7.76802815154529
"58",362,0.15,"old","RI",1,"chr19",58617616,7.76802815154529
"59",363,0.162,"old","RI",1,"chr19",58617616,7.76802815154529
"60",365,0.147,"old","RI",1,"chr19",58617616,7.76802815154529
"61",366,0.226,"old","RI",1,"chr19",58617616,7.76802815154529
"62",368,0.131,"old","RI",1,"chr19",58617616,7.76802815154529
"63",373,0.137,"old","RI",1,"chr19",58617616,7.76802815154529
"64",384,0.113,"old","RI",1,"chr19",58617616,7.76802815154529
"65",386,0.177,"old","RI",1,"chr19",58617616,7.76802815154529
"66",387,0.102,"old","RI",1,"chr19",58617616,7.76802815154529
"67",404,-0.148,"young","RI",0,"chr19",58617616,7.76802815154529
"68",407,0.308,"old","RI",1,"chr19",58617616,7.76802815154529
"69",408,0.38,"old","RI",1,"chr19",58617616,7.76802815154529
"70",412,0.154,"old","RI",1,"chr19",58617616,7.76802815154529
"71",415,0.223,"old","RI",1,"chr19",58617616,7.76802815154529
"72",434,0.142,"old","RI",1,"chr19",58617616,7.76802815154529
"73",446,-0.148,"young","RI",0,"chr19",58617616,7.76802815154529
"74",456,-0.272,"young","RI",0,"chr20",64444167,7.80918361440696
"75",458,0.509,"old","RI",1,"chr20",64444167,7.80918361440696
"76",459,0.294,"old","RI",1,"chr20",64444167,7.80918361440696
"77",460,0.148,"old","RI",1,"chr20",64444167,7.80918361440696
"78",461,0.299,"old","RI",1,"chr20",64444167,7.80918361440696
"79",462,0.163,"old","RI",1,"chr20",64444167,7.80918361440696
"80",463,0.156,"old","RI",1,"chr20",64444167,7.80918361440696
"81",464,0.243,"old","RI",1,"chr20",64444167,7.80918361440696
"82",478,0.245,"old","RI",1,"chr20",64444167,7.80918361440696
"83",488,0.207,"old","RI",1,"chr20",64444167,7.80918361440696
"84",490,0.177,"old","RI",1,"chr20",64444167,7.80918361440696
"85",500,0.175,"old","RI",1,"chr20",64444167,7.80918361440696
"86",502,0.149,"old","RI",1,"chr19",58617616,7.76802815154529
"87",522,0.263,"old","RI",1,"chr20",64444167,7.80918361440696
"88",524,-0.131,"young","RI",0,"chr20",64444167,7.80918361440696
"89",539,0.319,"old","RI",1,"chr20",64444167,7.80918361440696
"90",546,0.162,"old","RI",1,"chr18",80373285,7.90511171908335
"91",549,0.248,"old","RI",1,"chr18",80373285,7.90511171908335
"92",550,0.161,"old","RI",1,"chr19",58617616,7.76802815154529
"93",551,0.182,"old","RI",1,"chr19",58617616,7.76802815154529
"94",562,0.285,"old","RI",1,"chr18",80373285,7.90511171908335
"95",572,0.187,"old","RI",1,"chr18",80373285,7.90511171908335
"96",574,0.231,"old","RI",1,"chr18",80373285,7.90511171908335
"97",577,0.172,"old","RI",1,"chr17",83257441,7.92042305828438
"98",579,0.147,"old","RI",1,"chr17",83257441,7.92042305828438
"99",582,0.226,"old","RI",1,"chr17",83257441,7.92042305828438
"100",584,0.284,"old","RI",1,"chr17",83257441,7.92042305828438
"101",596,0.197,"old","RI",1,"chr17",83257441,7.92042305828438
"102",599,0.125,"old","RI",1,"chr17",83257441,7.92042305828438
"103",600,0.337,"old","RI",1,"chr17",83257441,7.92042305828438
"104",605,0.104,"old","RI",1,"chr17",83257441,7.92042305828438
"105",607,0.269,"old","RI",1,"chr17",83257441,7.92042305828438
"106",611,0.283,"old","RI",1,"chr17",83257441,7.92042305828438
"107",612,0.208,"old","RI",1,"chr17",83257441,7.92042305828438
"108",613,0.233,"old","RI",1,"chr17",83257441,7.92042305828438
"109",618,0.286,"old","RI",1,"chr17",83257441,7.92042305828438
"110",627,0.226,"old","RI",1,"chr17",83257441,7.92042305828438
"111",640,0.214,"old","RI",1,"chr17",83257441,7.92042305828438
"112",643,0.255,"old","RI",1,"chr17",83257441,7.92042305828438
"113",645,0.241,"old","RI",1,"chr17",83257441,7.92042305828438
"114",646,0.372,"old","RI",1,"chr17",83257441,7.92042305828438
"115",650,0.101,"old","RI",1,"chr17",83257441,7.92042305828438
"116",659,0.111,"old","RI",1,"chr17",83257441,7.92042305828438
"117",666,0.106,"old","RI",1,"chr17",83257441,7.92042305828438
"118",668,0.229,"old","RI",1,"chr17",83257441,7.92042305828438
"119",671,0.216,"old","RI",1,"chr17",83257441,7.92042305828438
"120",672,0.201,"old","RI",1,"chr19",58617616,7.76802815154529
"121",675,0.109,"old","RI",1,"chr19",58617616,7.76802815154529
"122",676,0.107,"old","RI",1,"chr19",58617616,7.76802815154529
"123",689,-0.137,"young","RI",0,"chr19",58617616,7.76802815154529
"124",691,0.184,"old","RI",1,"chr19",58617616,7.76802815154529
"125",723,0.235,"old","RI",1,"chr17",83257441,7.92042305828438
"126",729,0.216,"old","RI",1,"chr19",58617616,7.76802815154529
"127",733,-0.292,"young","RI",0,"chr17",83257441,7.92042305828438
"128",735,0.169,"old","RI",1,"chr17",83257441,7.92042305828438
"129",740,0.113,"old","RI",1,"chr17",83257441,7.92042305828438
"130",741,0.109,"old","RI",1,"chr17",83257441,7.92042305828438
"131",748,0.271,"old","RI",1,"chr17",83257441,7.92042305828438
"132",751,0.129,"old","RI",1,"chr22",50818468,7.70602156844408
"133",752,0.178,"old","RI",1,"chr22",50818468,7.70602156844408
"134",756,0.136,"old","RI",1,"chr17",83257441,7.92042305828438
"135",757,0.187,"old","RI",1,"chr17",83257441,7.92042305828438
"136",767,0.251,"old","RI",1,"chr17",83257441,7.92042305828438
"137",773,0.109,"old","RI",1,"chr17",83257441,7.92042305828438
"138",774,0.103,"old","RI",1,"chr19",58617616,7.76802815154529
"139",798,0.236,"old","RI",1,"chr17",83257441,7.92042305828438
"140",801,-0.129,"young","RI",0,"chr17",83257441,7.92042305828438
"141",804,0.161,"old","RI",1,"chr17",83257441,7.92042305828438
"142",818,0.169,"old","RI",1,"chr17",83257441,7.92042305828438
"143",831,0.133,"old","RI",1,"chr17",83257441,7.92042305828438
"144",832,0.104,"old","RI",1,"chr17",83257441,7.92042305828438
"145",833,0.195,"old","RI",1,"chr17",83257441,7.92042305828438
"146",835,0.198,"old","RI",1,"chr17",83257441,7.92042305828438
"147",836,0.152,"old","RI",1,"chr17",83257441,7.92042305828438
"148",842,0.262,"old","RI",1,"chr17",83257441,7.92042305828438
"149",847,0.304,"old","RI",1,"chr17",83257441,7.92042305828438
"150",858,0.111,"old","RI",1,"chr17",83257441,7.92042305828438
"151",865,0.21,"old","RI",1,"chr17",83257441,7.92042305828438
"152",867,0.233,"old","RI",1,"chr17",83257441,7.92042305828438
"153",870,0.341,"old","RI",1,"chr17",83257441,7.92042305828438
"154",886,0.153,"old","RI",1,"chr19",58617616,7.76802815154529
"155",890,0.31,"old","RI",1,"chr17",83257441,7.92042305828438
"156",891,0.356,"old","RI",1,"chr17",83257441,7.92042305828438
"157",894,0.206,"old","RI",1,"chr17",83257441,7.92042305828438
"158",899,0.276,"old","RI",1,"chr17",83257441,7.92042305828438
"159",901,0.211,"old","RI",1,"chr17",83257441,7.92042305828438
"160",907,0.197,"old","RI",1,"chr22",50818468,7.70602156844408
"161",912,0.115,"old","RI",1,"chr17",83257441,7.92042305828438
"162",914,0.329,"old","RI",1,"chr17",83257441,7.92042305828438
"163",945,0.194,"old","RI",1,"chr16",90338345,7.95587213001604
"164",946,0.24,"old","RI",1,"chr16",90338345,7.95587213001604
"165",950,0.217,"old","RI",1,"chr16",90338345,7.95587213001604
"166",959,0.21,"old","RI",1,"chr16",90338345,7.95587213001604
"167",982,0.176,"old","RI",1,"chr16",90338345,7.95587213001604
"168",1001,0.229,"old","RI",1,"chr16",90338345,7.95587213001604
"169",1005,0.341,"old","RI",1,"chr16",90338345,7.95587213001604
"170",1010,0.216,"old","RI",1,"chr16",90338345,7.95587213001604
"171",1042,0.279,"old","RI",1,"chr16",90338345,7.95587213001604
"172",1051,0.274,"old","RI",1,"chr19",58617616,7.76802815154529
"173",1055,0.114,"old","RI",1,"chr16",90338345,7.95587213001604
"174",1062,0.213,"old","RI",1,"chr16",90338345,7.95587213001604
"175",1063,0.255,"old","RI",1,"chr16",90338345,7.95587213001604
"176",1068,0.11,"old","RI",1,"chr16",90338345,7.95587213001604
"177",1073,0.307,"old","RI",1,"chr16",90338345,7.95587213001604
